,date,grocery,sub_region_2
284378,3/19/20,16.0,Bay County
284379,3/20/20,11.0,Bay County
284380,3/21/20,4.0,Bay County
284381,3/22/20,-4.0,Bay County
284382,3/23/20,-8.0,Bay County
284383,3/24/20,-8.0,Bay County
284384,3/25/20,-13.0,Bay County
284385,3/26/20,-12.0,Bay County
284386,3/27/20,-14.0,Bay County
284387,3/28/20,-16.0,Bay County
284388,3/29/20,-16.0,Bay County
284389,3/30/20,-19.0,Bay County
284390,3/31/20,-19.0,Bay County
284391,4/1/20,4.0,Bay County
284392,4/2/20,-4.0,Bay County
284393,4/3/20,-20.0,Bay County
284394,4/4/20,-23.0,Bay County
284395,4/5/20,-24.0,Bay County
284396,4/6/20,-22.0,Bay County
284397,4/7/20,-21.0,Bay County
284398,4/8/20,-19.0,Bay County
284399,4/9/20,-17.0,Bay County
284400,4/10/20,-13.0,Bay County
284401,4/11/20,-13.0,Bay County
284402,4/12/20,-50.0,Bay County
284403,4/13/20,-17.0,Bay County
284404,4/14/20,-13.0,Bay County
284405,4/15/20,-12.0,Bay County
284406,4/16/20,-9.0,Bay County
284407,4/17/20,-12.0,Bay County
284408,4/18/20,-14.0,Bay County
284409,4/19/20,-15.0,Bay County
284410,4/20/20,-14.0,Bay County
284411,4/21/20,-10.0,Bay County
284412,4/22/20,-10.0,Bay County
284413,4/23/20,-14.0,Bay County
284414,4/24/20,-6.0,Bay County
284415,4/25/20,-4.0,Bay County
284416,4/26/20,-3.0,Bay County
284417,4/27/20,-6.0,Bay County
284418,4/28/20,-2.0,Bay County
284419,4/29/20,-10.0,Bay County
284420,4/30/20,1.0,Bay County
284421,5/1/20,2.0,Bay County
284422,5/2/20,6.0,Bay County
284423,5/3/20,9.0,Bay County
284424,5/4/20,1.0,Bay County
284425,5/5/20,6.0,Bay County
284426,5/6/20,1.0,Bay County
284427,5/7/20,3.0,Bay County
284428,5/8/20,6.0,Bay County
284429,5/9/20,19.0,Bay County
284430,5/10/20,16.0,Bay County
284431,5/11/20,-1.0,Bay County
284432,5/12/20,3.0,Bay County
284433,5/13/20,1.0,Bay County
284434,5/14/20,4.0,Bay County
284435,5/15/20,3.0,Bay County
284436,5/16/20,13.0,Bay County
284437,5/17/20,14.0,Bay County
284438,5/18/20,1.0,Bay County
284439,5/19/20,8.0,Bay County
284440,5/20/20,1.0,Bay County
284441,5/21/20,15.0,Bay County
284442,5/22/20,22.0,Bay County
284443,5/23/20,30.0,Bay County
284444,5/24/20,40.0,Bay County
284445,5/25/20,9.0,Bay County
284446,5/26/20,11.0,Bay County
284447,5/27/20,10.0,Bay County
284448,5/28/20,13.0,Bay County
284449,5/29/20,14.0,Bay County
284450,5/30/20,23.0,Bay County
284451,5/31/20,26.0,Bay County
284452,6/1/20,16.0,Bay County
284453,6/2/20,12.0,Bay County
284454,6/3/20,16.0,Bay County
284455,6/4/20,20.0,Bay County
284456,6/5/20,18.0,Bay County
284457,6/6/20,16.0,Bay County
284458,6/7/20,16.0,Bay County
284459,6/8/20,11.0,Bay County
284460,6/9/20,13.0,Bay County
284461,6/10/20,13.0,Bay County
284462,6/11/20,16.0,Bay County
284463,6/12/20,19.0,Bay County
284464,6/13/20,33.0,Bay County
284465,6/14/20,38.0,Bay County
284466,6/15/20,20.0,Bay County
284467,6/16/20,21.0,Bay County
284468,6/17/20,20.0,Bay County
284469,6/18/20,21.0,Bay County
284470,6/19/20,21.0,Bay County
284471,6/20/20,37.0,Bay County
284472,6/21/20,38.0,Bay County
284473,6/22/20,16.0,Bay County
284474,6/23/20,21.0,Bay County
284475,6/24/20,15.0,Bay County
284476,6/25/20,18.0,Bay County
284477,6/26/20,16.0,Bay County
284478,6/27/20,24.0,Bay County
284479,6/28/20,30.0,Bay County
284480,6/29/20,16.0,Bay County
284481,6/30/20,20.0,Bay County
284482,7/1/20,13.0,Bay County
284483,7/2/20,24.0,Bay County
284484,7/3/20,27.0,Bay County
284485,2/15/20,1.0,Bradford County
284486,2/16/20,7.0,Bradford County
284487,2/17/20,5.0,Bradford County
284488,2/18/20,0.0,Bradford County
284489,2/19/20,0.0,Bradford County
284490,2/20/20,-1.0,Bradford County
284491,2/21/20,-7.0,Bradford County
284492,2/22/20,3.0,Bradford County
284493,2/23/20,6.0,Bradford County
284494,2/24/20,3.0,Bradford County
284495,2/25/20,-6.0,Bradford County
284496,2/26/20,2.0,Bradford County
284497,2/27/20,5.0,Bradford County
284498,2/28/20,4.0,Bradford County
284499,2/29/20,3.0,Bradford County
284500,3/1/20,12.0,Bradford County
284501,3/2/20,12.0,Bradford County
284502,3/3/20,14.0,Bradford County
284503,3/4/20,10.0,Bradford County
284504,3/5/20,3.0,Bradford County
284505,3/6/20,2.0,Bradford County
284506,3/7/20,4.0,Bradford County
284507,3/8/20,13.0,Bradford County
284508,3/9/20,14.0,Bradford County
284509,3/10/20,4.0,Bradford County
284510,3/11/20,11.0,Bradford County
284511,3/12/20,13.0,Bradford County
284512,3/13/20,16.0,Bradford County
284513,3/14/20,16.0,Bradford County
284514,3/15/20,21.0,Bradford County
284515,3/16/20,21.0,Bradford County
284516,3/17/20,18.0,Bradford County
